RoomArea,NumberofAppliances,OutsideTemperature,InsulationThickness,BuildingType,HVACSystem,AverageTemperature,EnergyConsumption
171.49,2.0,33.97,7.59,Commercial,Split AC,25.07,9406.40085943
71.99,12.0,36.05,10.2,Commercial,Central AC,29.87,2613.73
18.86801765386677,113.0,28.11,10.36,Residential,Heat Pump,26.96,1670.94
26.24,7.0,21.34,14.29,Office,Heat Pump,20.18,389.99
143.19,35.0,34.02,6.24,Commercial,VRF,24.77,5106.92
18.41,8.0,26.17,14.88,Hospital,Central AC,24.26,827.08
55.19,8.0,32.17,24.06,Residential,Heat Pump,24.26,699.26
11.33,4.0,25.27,9.5,Educational,Heat Pump,22.71,174.72
16.04,2.0,18.97,11.17,Residential,Central AC,18.61,187.2
18.106222035235113,124.0,32.42,17.48,Residential,Rooftop Unit,25.73,2439.35
10.09,5.0,28.58,30.0,Commercial,Rooftop Unit,25.47,405.23
41.97,19.0,21.65,25.66,Educational,Rooftop Unit,21.38,972.14
11.97,5.0,17.98,8.83,Educational,Central AC,19.72,356.89
180.02,16.0,42.14,8.71,Residential,Split AC,29.13,6154.23
62.66,20.0,32.18,25.03,Hospital,CENTRAL AC,25.2,2042.64
10.52,7.0,43.44,8.97,Hospital,Split AC,24.93,892.14
77.8,10.0,22.01,29.62,Hospital ,Central AC,21.15,1320.38
-6.900742583530099,7.0,41.06,24.48,Hospital,Rooftop Unit,28.52,1129.78
29.08,7.0,,6.14,Residential,Heat Pump,23.25,368.29
101.45,39.0,16.91,12.47,Office,VRF,82.55450352698203,2063.48
63.51,7.0,18.71,27.622677940278596,Commercial,Split AC,20.27,11900.792900268532
20.61,7.0,25.39,14.98,Residential,Split AC,25.05,364.74
79.91,17.0,27.05,7.33,Residential,Split AC,24.38,1509.5
53.76,13.0,12.67,29.769395357054528,Residential,Heat Pump,22.18,10346.317573507407
17.406766815026185,102.0,17.67,12.94,Residential,Central AC,19.87,239.86
18.12,3.0,12.33,15.18,Residential,VRF,23.06,351.68
75.65,14.0,23.58,6.46,Office,Central AC,24.92,1561.76
219.3,42.0,17.84,11.63,,Split AC,18.0,3164.08
24.46,2.0,27.38,13.44,Office,Central AC,27.75,403.26
36.37,13.0,32.85,12.93,Hospital,Split AC,26.45,1802.01
165.85,11.0,9.91,10.99,,Split AC,20.45,3813.96
29.38,3.0,41.64,8.6,Residential,Heat Pump,24.82,784.64
21.87,4.0,32.15,14.81,Office,Split AC,26.47,536.39
45.66,9.0,26.6,22.3,Hospital,VRF,24.95,995.24
10.12,1.0,28.39,15.73,Office,Split AC,25.01,212.41
20.37,1.0,28.14,16.15,Educational,Heat Pump,25.03,198.86
50.18,6.0,12.5,9.63,RESIDENTIAL,Split AC,19.85,1084.26
24.93,1.0,38.94,18.49,Residential,Central AC,25.54,647.26
52.62,11.0,5.0,11.36,Residential,rooftop unit,18.0,1722.93
56.92,10.0,23.8,13.21,Residential,Rooftop Unit,22.37,893.8
196.24,25.0,20.42,15.24,Hospital,Central AC,22.24,4386.37
105.12,36.0,28.06,14.05,Residential,Central AC,26.87,2305.12
31.47,10.0,44.07,12.91,Residential,Heat Pump,25.59,1194.35
67.06,10.0,29.52,8.73,Commercial,Heat Pump,27.24,1306.36
19.97760898597272,128.0,17.03,10.82,Educational,Split AC,18.61,3561.02
19.72,7.0,40.95,0.9280165364812393,Residential,Central AC,30.0,10764.822488425969
74.38,11.0,25.53,5.67,Residential,Heat Pump,24.29,832.5
19.26,6.0,11.73,6.08,Office,VRF,21.15,603.68
304.35,25.0,20.8,-1.77653717419409,Educational,Split AC,21.03,3680.54
12.534436657098851,116.0,16.48,15.68,Commercial,Split AC,18.0,3872.37
,20.0,15.66,18.38,Office,Central AC,20.81,1547.3
161.44,30.0,19.26,13.95,Residential,Central AC,20.09,2703.1
11.01,8.0,17.2,14.32,Hospital,VRF,18.14,384.81
50.06,13.0,15.45,16.03,Commercial,Split AC,18.0,1264.64
78.92,20.0,17.68,26.29,Office,Central AC,19.24,1695.78
10.8,8.0,17.41,8.72,Commercial,Rooftop Unit,20.58,567.17
13.01,7.0,16.33,10.03,Office,Central AC,19.32,522.94
26.93,3.0,21.25,20.99,Commercial,Rooftop Unit,22.01,532.79
16.05,5.0,32.84,11.29,Residential,Split AC,24.99,479.05
273.91,41.0,47.13825589145304,18.68,Educational,Central AC,18.62,4058.07
124.24,11.0,23.44,18.21,Residential, Central AC,22.2,1351.34
198.62,28.0,29.73,25.62117511273539,Commercial,VRF,29.49,12718.939799714837
52.19,14.0,28.36,5.8,Office,Central AC,26.89,1189.2
73.35,10.0,20.14,13.2,Residential,VRF,21.67,810.98
41.34,,24.05,15.07,Commercial,Rooftop Unit,25.22,1627.53
14.08,5.0,17.64,9.75,Commercial,Split AC,19.86,480.53
34.17,1.0,23.23,14.92,Residential,Heat Pump,22.96,11344.466398791972
62.1,19.0,20.99,22.2,Commercial,Heat Pump,22.56,1126.86
131.59,18.0,30.18,9.42,Commercial,Heat Pump,23.05,3156.82
19.51,7.0,13.98,13.99,Office,Central AC,19.65,628.91
73.23,16.0,22.27,23.04,Residential,Central AC,22.83,1220.29
66.46,14.0,17.04,10.99,Hospital,Heat Pump,20.05,1580.29
177.14,19.0,20.46,16.93,Residential,Central AC,22.21,2301.2
16.52,6.0,47.49305663894277,21.13,Commercial,VRF,23.32,396.36
96.44,38.0,25.54,14.7,Educational,VRF,24.23,1727.48
21.4,5.0,22.9,8.92,Residential,Rooftop Unit,22.74,416.38
56.19,16.0,21.75,16.02,Office,Central AC,21.96,1172.24
27.08,3.0,35.81,16.43,Educational,VRF,22.44,572.21
154.51,31.0,34.1,10.96,Office,Heat Pump,24.66,4294.35
13.9,8.0,10.87,21.11,Residential,Split AC,19.99,356.34
42.92,17.0,20.12,13.78,Residential,VRF,19.44,631.31
12.92,3.0,18.83,22.0,Office,Heat Pump,21.02,87.68
344.77,38.0,21.59,17.36,Commercial,split ac,22.76,6635.03
,3.0,27.44,18.79,Residential,VRF,25.07,309.36
24.93,6.0,7.42,13.43,Educational,Central AC,19.28,894.92
57.39,,28.86,13.04,Residential,Central AC,23.42,1772.16
206.11,49.0,17.45,13.9,Residential,Heat Pump,20.61,3262.61
38.12,12.0,18.2,10.8,Residential,Split AC,19.9,814.81
74.67,7.0,9.04,9.48,Educational,Heat Pump,21.78,1302.43
41.39,17.0,29.55,17.13,Office,Split AC,26.23,1188.11
83.83,24.0,17.47,14.71,Commercial,Split AC,19.56,1855.23
18.43,8.0,31.98,14.46,Office,VRF,23.53,579.65
15.50539637216546,15.0,21.85,7.92,Hospital,Split AC,23.01,14035.296276252859
74.69,9.0,36.73,15.65,Residential,Central AC,27.77,1742.26
72.33,20.0,18.86,7.29,Commercial,Central AC,20.18,2156.8
13.74,8.0,43.29,28.56517207175932,Residential,Split AC,29.08,13107.241442573883
74.35,9.0,31.6,24.21,Residential,VRF,23.45,947.89
29.06,1.0,27.03,14.63,Educational,Central AC,64.0971897702276,348.71
79.61,5.0,28.43,8.64,Educational,Split AC,25.6,1321.11
115.86,19.0,16.74,11.73,Residential,VRF,18.0,1211.69
49.58,19.0,38.22,7.61,Residential,Central AC,26.5,2396.53
32.26,14.0,19.86,8.73,Residential,Central AC,20.15,700.43
68.11,13.0,19.63,6.83,Hospital,Central AC,21.32,1902.13
64.71,19.0,19.26,20.39,Residential,Split AC,23.51,983.31
62.72,2.0,22.77,11.49,Office,Heat Pump,22.35,8296.686213559327
,2.0,45.0,6.13,Educational,VRF,25.95,854.66
55.25,15.0,43.49,9.05,Residential,Central AC,29.35,2712.9
18.84,4.0,28.98,7.6,Educational,Central AC,27.82,424.89
15.1,5.0,12.16,17.24,Residential,Split AC,19.38,373.86
34.48,19.0,19.11,11.13,Office,Central AC,22.15,1154.08
20.65,7.0,15.56,14.79,Commercial,Heat Pump,19.15,536.75
80.29,12.0,16.18,19.13,Office,Central AC,18.19,1396.59
194.8,25.0,28.77,13.02,Commercial,Central AC,26.13,4648.85
54.36,20.0,7.23,19.48,Office,Heat Pump,,1595.09
279.2608004079117,3.0,35.42,5.67,Office,Split AC,23.12,103.4775554202873
71.54,10.0,29.64,13.96,Residential,Rooftop Unit,26.7,1352.52
64.29,17.0,29.15,12.67,Commercial,Rooftop Unit,26.18,2092.73
12.28,1.0,31.01,7.8,Residential,VRF,23.55,165.69
78.72,13.0,19.16,15.89,Commercial,Split AC,68.86268576840924,1487.76
70.56,7.0,12.0,23.07,Educational,Rooftop Unit,18.15,1552.98
56.34,11.0,36.81,30.0,Commercial,Rooftop Unit,26.33,1525.14
20.17,3.0,33.49,24.98,Residential,Split AC,25.88,361.73
51.01,20.0,,13.28,Hospital,VRF,27.02,3367.32
121.07,24.0,44.41,10.43,Residential,Central AC,29.13,5150.41
17.88,5.0,16.11,13.62,Residential,Split AC,18.0,350.31
39.06,17.0,27.09,11.95,Educational,Split AC,25.25,1123.32
10.74,2.0,19.83,11.16,Office,Central AC,21.2,236.89
27.42,6.0,25.96,24.17,Commercial,Central AC,25.36,563.54
28.37,4.0,20.44,10.94,Residential,Split AC,23.78,442.97
27.0,2.0,36.87,-2.9317653051021173,Educational,VRF,24.33,483.16
24.5,7.0,34.22,5.7,Educational,VRF,22.53,769.85
166.79,11.0,28.86,13.19,Commercial,Heat Pump,26.27,2625.65
104.78,36.0,21.49,18.14,Office,Central AC,69.22830408787382,3061.41
63.0,7.0,27.7,9.97,Hospital,Central AC,24.91,1954.07
11.4,3.0,31.14,26.08,Office,Rooftop Unit,25.21,372.09
14.001007159931392,17.0,18.07,10.96,Residential,VRF,18.0,15917.926833879206
12.73,5.0,31.72,26.57,Office,Split AC,22.41,317.44
302.65643619627923,10.0,8.18,19.66,Residential,Split AC,18.0,76.78134046580092
19.27,6.0,,11.13,Residential,Heat Pump,25.63,355.56
11.94,7.0,29.79,10.4,Office,Split AC,26.29,428.83
79.23,19.0,30.0,21.9,Office,Central AC,25.55,1916.57
20.64,7.0,33.86,18.88,Office,Heat Pump,21.42,509.72
27.92,7.0,16.96,13.46,Hospital,Rooftop Unit,18.47,1104.0
195.89,11.0,26.87,10.97,Office,Central AC,24.87,3187.73
127.79,36.0,27.93,15.27,Commercial,Central AC,26.5,3926.82
12.933887087290444,13.0,28.89,12.31,Hospital,Split AC,27.2,9342.051728696346
18.41,4.0,30.09,7.76,Hospital,VRF,24.25,553.16
10.1,7.0,25.36,12.68,Commercial,Split AC,25.57,379.93
10.86,1.0,11.06,21.54,Office,Central AC,18.11,199.38
13.46,4.0,17.9,14.71,Residential,VRF,20.35,200.86
263.6623700775286,3.0,25.49,12.17,Office,VRF,25.03,51.34963457555222
19.71,3.0,75.76279754142924,12.22,Commercial,Heat Pump,20.82,598.11
53.86,13.0,31.0,11.42,Educational,Central AC,23.94,1500.75
18.45,6.0,26.68,18.29,Residential,Split AC,23.07,308.59
181.59257871168583,7.0,30.35,9.84,Residential,Central AC,24.99,60.01846828299342
51.23,10.0,19.65,-8.594077194053572,Hospital,Central AC,21.68,1687.8
63.3,11.0,30.97,8.92,Residential,Heat Pump,23.94,1047.58
188.31,10.0,23.26,29.74,Office,Central AC,24.2,1551.98
,10.0,7.86,9.79,Commercial,Central AC,18.0,2134.14
24.48,8.0,21.94,13.13,Commercial,VRF,20.96,521.26
23.16,6.0,36.35,21.02,Residential,Split AC,27.53,514.99
21.4,1.0,10.3,13.26,Residential,Rooftop Unit,18.18,498.41
58.69,14.0,25.7,13.88,Residential,Split AC,23.72,1045.95
98.74,16.0,31.28,-7.634827744417605,Residential,Central AC,25.69,2245.47
198.11,13.0,12.85,21.14,Educational,Split AC,20.1,3536.68
51.91,17.0,23.23,25.098526454213385,Residential,Central AC,22.19,11861.456961986567
76.8,17.0,14.31,5.57,Residential,VRF,22.43,1503.93
76.35,10.0,12.17,26.52,Residential,Rooftop Unit,18.13,1092.35
26.55,6.0,26.62,10.07,Commercial,Central AC,26.01,713.95
22.54,4.0,35.04,11.7,Hospital,Central AC,26.31,1034.13
28.63,4.0,25.29,4.56,Residential,Rooftop Unit,24.06,554.44
199.79,10.0,47.19782068175444,22.86,Commercial,Heat Pump,23.7,3688.14
75.47,8.0,17.69,12.12,Educational,Split AC,20.72,1215.97
67.44,16.0,26.29,14.66,Residential,Central AC,25.57,1188.14
10.97,7.0,14.88,14.48,Educational,Heat Pump,22.06,339.48
93.83,36.0,21.88,11.13,Office,Heat Pump,22.9,2129.23
11.94,7.0,20.99,13.54,Residential,Central AC,21.53,342.25
88.81,27.0,18.51,0.7082773080089303,Commercial,Rooftop Unit,19.58,10452.41052516691
115.45,17.0,28.59,16.48,Residential,Rooftop Unit,25.0,2219.33
20.57,7.0,12.29,7.6,Residential,Split AC,20.85,613.8
107.86,12.0,23.49,24.0,Hospital,,21.73,1898.53
45.21,10.0,38.23,9.93,Commercial,Split AC,26.66,2505.43
73.52,20.0,15.27,19.32,Commercial,Rooftop Unit,18.0,2140.1
14.5,8.0,19.17,13.53,Educational,Split AC,20.64,385.82
128.44,11.0,32.6,23.07,Office,Rooftop Unit,28.4,2254.57
166.02,39.0,28.24,20.53,Residential,Central AC,26.96,3058.75
26.24,5.0,13.29,6.67,Office,Central AC,22.01,915.82
44.89,,42.03,12.93,Residential,Central AC,28.99,1661.31
79.57,17.0,29.33,7.66,Office,Split AC,26.48,2248.89
19.23,1.0,35.0,12.41,Office,Central AC,28.75,617.31
22.77,2.0,33.0,11.34,Residential,Central AC,24.33,572.22
117.27,13.0,5.32,14.06,Office,Central AC,18.17,4920.6
154.86,21.0,18.02,6.64,Office,VRF,21.08,2528.58
88.27,31.0,19.78,7.52,Residential,Heat Pump,20.61,1189.48
20.08,6.0,16.41,20.16,Educational,Central AC,19.68,393.42
62.07,17.0,35.59,16.95,Residential,VRF,24.2,1370.36
48.4,14.0,43.19,25.64,Educational,Central AC,30.0,1706.66
50.66,13.0,22.07,17.42,Commercial,Split AC,21.26,906.77
317.95,38.0,33.54,7.26,Commercial,Split AC,25.53,11783.19
45.97,17.0,13.93,23.06,Residential,Central AC,20.31,1034.56
146.8,17.0,33.37,17.54,Hospital,Split AC,23.47,5614.4
17.462981365834022,72.0,21.21,15.1,Commercial,VRF,20.65,895.57
129.97,12.0,17.99,15.72,Commercial,Central AC,18.98,2448.17
20.78,3.0,79.7448526617222,18.48,Educational,Rooftop Unit,20.3,308.34
30.91,9.0,22.44,20.63,Office,Split AC,23.65,590.1
61.35,6.0,42.29,19.83,Hospital,Split AC,27.92,2803.08
15.28,3.0,18.07,30.0,Commercial,Split AC,20.12,237.26
56.81,6.0,29.68,15.04,Residential,Split AC,28.37,797.64
52.61,17.0,15.66,18.04,Hospital,VRF,19.45,1420.6
196.72,17.0,37.87,26.33548320347944,Residential,Rooftop Unit,27.69,13011.240290497113
27.03,5.0,10.27,9.72,Residential,Heat Pump,22.39,651.35
10.73,4.0,30.01,7.15,Hospital,Split AC,24.04,521.98
47.12,-5.0,14.04,7.12,Educational,Split AC,20.49,1718.32
289.76,31.0,20.6,18.14,Commercial,Split AC,18.62,4932.68
65.5,8.0,34.54,30.0,Residential,Rooftop Unit,,1122.96
45.42,6.0,10.65,19.46,Educational,Rooftop Unit,18.85,1205.63
29.6,8.0,31.47,10.29,Office,Central AC,25.49,753.02
200.893565954334,3.0,28.5,9.33,Commercial,Central AC,24.42,62.67603593486898
15.331966033842974,105.0,22.38,26.49,Residential,VRF,22.13,358.14
10.91,8.0,32.03,17.47,Residential,Central AC,25.55,466.03
16.74,3.0,25.98,8.4,Residential,Split AC,25.35,241.72
92.11,11.0,21.14,14.72,Office,Rooftop Unit,23.54,1474.66
17.46,1.0,23.52,8.11,Hospital,Central AC,24.9,415.95
12.15,4.0,13.5,10.04,Office,VRF,22.16,348.26
301.95,37.0,28.58,14.95,Hospital,Central AC,,7992.11
64.15,10.0,15.67,19.79,Office,Central AC,19.12,1470.86
47.46,14.0,25.59,4.67,Commercial,Split AC,23.24,1348.2
26.89,7.0,32.36,6.22,Hospital,Split AC,26.56,1265.18
24.31,4.0,36.2,9.62,Educational,Split AC,26.92,785.49
10.91,1.0,11.58,8.28,Office,VRF,20.19,216.0
12.0,1.0,7.63,27.6,Residential,Rooftop Unit,18.0,254.66
15.18,2.0,24.25,17.9,Residential,Rooftop Unit,25.29,218.22
54.66,1.0,25.69,9.27,Residential,Split AC,24.58,9362.537533806903
139.2,26.0,17.82,12.42,Commercial,Split AC,19.43,3586.98
322.15,49.0,27.71,9.61,Educational,Central AC,27.56,7846.81
193.25,31.0,15.51,9.04,Commercial,Split AC,18.44,4625.81
34.37,9.0,22.24,14.04,Hospital,VRF,-2.213702875289723,748.6
64.81,2.0,37.83,10.69,Residential,Split AC,25.72,8060.232976643637
-39.59091596706464,7.0,37.29,5.58,Educational,VRF,22.45,2198.4
29.81,3.0,23.12,24.35,Residential,Central AC,24.5,304.09
27.71,3.0,35.33,18.61,Office,Split AC,24.56,874.92
40.3,1.0,27.09,11.92,Office,VRF,25.41,11578.090230622194
22.952390521477383,107.0,30.32,9.22,Educational,Rooftop Unit,24.09,1209.85
60.81,15.0,34.02,17.88,Commercial,Central AC,26.51,2285.33
21.58,6.0,18.4,20.38,Educational,Split AC,20.62,414.26
14.2,7.0,24.36,10.56,Hospital,Split AC,24.0,528.35
25.92,8.0,31.52,7.48,Office,Heat Pump,23.42,638.0
62.07,18.0,35.04,21.36,Educational,VRF,,1151.07
23.04,2.0,26.58,14.8,Office,Split AC,25.5,366.02
46.12,12.0,26.12,9.99,Office,Central AC,23.32,1231.61
272.14,42.0,5.0,16.5,Commercial,Rooftop Unit,18.06,13262.78
21.24,4.0,32.52,15.21,Office,Split AC,26.0,411.82
39.69,9.0,26.4,9.28,Educational,Split AC,24.55,669.06
24.86,4.0,25.12,8.86,Commercial,Central AC,24.01,637.49
24.44,5.0,26.57,27.471261817838567,Residential,Split AC,23.95,10571.472579471962
125.7,26.0,36.58,6.45,Office,Central AC,27.53,5511.08
12.529015491386604,4.0,45.0,23.77,Office,Split AC,30.0,13187.05640970049
190.36,26.0,14.43,16.84,Office,vrf,23.0,3933.02
29.24,3.0,7.84,16.67,Educational,Heat Pump,22.09,
10.34,2.0,19.57,7.36,Residential,VRF,18.75,93.91
37.37,13.0,35.31,8.96,Hospital,Split AC,29.89,2131.89
62.78,7.0,16.07,15.21,Office,Split AC,19.24,1220.36
38.27,16.0,14.32,6.85,Residential,Rooftop Unit,20.96,1126.22
150.85,12.0,19.41,7.25,Office,Heat Pump,21.65,1800.03
25.02,2.0,34.08,20.51,Educational,Split AC,25.06,494.53
12.84,4.0,30.93,19.28,Office,Heat Pump,23.47,230.89
166.32,31.0,29.36,13.62,Office,Rooftop Unit,28.44,4075.44
,12.0,22.27,7.3,Office,Central AC,21.07,1674.6
282.018767910328,2.0,41.17,21.1,Hospital,Central AC,28.1,196.04693964942635
61.09,11.0,21.75,8.09,Residential,Rooftop Unit,21.7,1093.06
32.14,5.0,23.18,21.27,Office,Central AC,21.69,551.17
29.53,1.0,21.82,8.6,Educational,Rooftop Unit,22.5,440.37
76.56,5.0,17.67,13.94,Residential,Split AC,21.59,992.32
19.4,8.0,21.28,15.6,Residential,Central AC,21.44,451.35
11.51,4.0,6.18,12.54,Office,Central AC,18.88,564.86
25.02,6.0,,23.7,Commercial,VRF,25.75,458.13
77.66,7.0,53.63744535287975,7.61,Commercial,Split AC,25.71,2024.91
24.47,8.0,22.91,17.27,Commercial,Heat Pump,23.93,468.05
46.29,13.0,22.18,12.08,Office,Split AC,21.47,1063.11
183.9,10.0,23.49,26.97,Educational,VRF,22.56,1035.54
58.4,15.0,21.57,14.57,Hospital,Central AC,20.78,1654.53
24.84,3.0,28.82,15.54,Educational,Central AC,26.52,464.45
50.66,17.0,9.56,19.34,Residential,Split AC,20.83,1459.54
14.96,1.0,6.92,30.0,Office,VRF,21.84,179.55
29.97,8.0,26.95,12.35,Office,Central AC,22.49,879.87
55.59,13.0,22.08,10.13,Residential,Central AC,22.51,1051.24
159.78,14.0,5.17,6.98,Office,Central AC,18.0,7495.48
13.2,4.0,24.28,9.04,Office,Heat Pump,23.1,313.39
67.32,13.0,33.75,16.76,Residential,Central AC,24.21,1515.06
268.26,35.0,18.02,12.09,Residential,Rooftop Unit,19.28,3692.51
38.71,6.0,27.56,22.69,Residential,Split AC,25.55,497.47
45.39,17.0,29.15,27.96,Office,Heat Pump,24.46,690.58
69.43,8.0,21.88,16.36,Residential,VRF,22.33,780.7
19.07,7.0,34.06,20.86,Educational,Central AC,25.97,607.01
42.96,16.0,5.0,10.85,Commercial,Rooftop Unit,18.0,2979.06
65.53,-3.0,35.64,14.12,Educational,Split AC,25.82,2095.01
57.55,7.0,22.85,14.64,Educational,Split AC,23.65,688.1
137.84,12.0,21.52,8.41,Office,Rooftop Unit,19.94,2700.71
13.09,4.0,10.19,14.12,Hospital,Heat Pump,22.07,436.7
32.54,20.0,30.54,13.2,Residential,Rooftop Unit,24.84,1285.4
67.07,10.0,25.09,18.48,Educational,Central AC,23.98,1072.33
41.1,16.0,29.63,18.85,Commercial,Heat Pump,24.1,642.06
205.66694765989587,6.0,23.72,4.74,Commercial,Central AC,20.71,111.361526979712
12.08,2.0,17.1,14.96,Office,Rooftop Unit,19.74,10972.028350603177
20.86,1.0,37.77,4.94,Office,Central AC,29.37,926.99
27.28,1.0,21.64,19.61,Hospital,Heat Pump,22.01,9914.536417315043
144.72,-9.0,23.65,13.97,Residential,Split AC,23.46,2801.58
51.71,7.0,22.69,9.34,Commercial,Rooftop Unit,22.54,1112.48
346.88509397278455,1.0,20.23,11.66,Commercial,Split AC,21.48,49.64725276865559
17.18,6.0,15.99,15.04,Hospital,VRF,18.0,464.1
191.68,28.0,63.10492017776819,21.38,Hospital,Heat Pump,23.1,4112.48
10.51,4.0,20.59,13.09,Residential,Heat Pump,20.98,202.27
22.52,6.0,28.93,22.29,Commercial,Split AC,26.57,515.11
24.34,5.0,27.19,8.3,Educational,VRF,25.16,457.7
74.34,18.0,7.48,8.47,Educational,Heat Pump,22.84,2151.1
25.68,8.0,25.17,14.5,Commercial,Split AC,25.2,612.02
164.41,34.0,16.82,14.05,Residential,Central AC,21.07,3182.77
58.82,15.0,32.87,7.74,Educational,Split AC,24.16,2163.96
20.25780567247702,76.0,27.63,6.4,Residential,Split AC,25.4,318.34
123.26,24.0,39.23,15.35,Commercial,VRF,24.46,4327.93
27.25,5.0,5.03,9.69,Office,HEAT PUMP,19.47,865.69
20.14,6.0,16.83,17.06,Commercial,Rooftop Unit,18.26,698.87
-30.48307744127967,7.0,23.06,29.6,Residential,Central AC,23.42,372.53
29.26,1.0,27.42,6.11,Residential,VRF,,282.52
133.27,22.0,33.96,,Hospital,Split AC,24.66,5972.3
258.47,39.0,23.06,20.57,Office,Split AC,23.72,3858.27
65.51,7.0,21.02,14.39,Educational,Central AC,19.53,1011.59
76.51,16.0,29.71,11.24,Commercial,Heat Pump,26.72,1456.74
69.0,7.0,15.33,7.05,Residential,Central AC,19.29,1247.03
150.35,33.0,81.82462539397197,12.35,Educational,Rooftop Unit,25.44,2474.56
25.39,5.0,23.0,15.26,Hospital,Split AC,24.44,738.12
68.9,,30.13,28.67,Residential,Heat Pump,24.22,646.14
22.46,7.0,25.82,18.64,Office,Rooftop Unit,25.67,520.82
42.73,13.0,14.63,13.76,Residential,Rooftop Unit,18.0,1102.84
53.4,12.0,21.55,10.62,Residential,Central AC,24.06,1249.2
198.65,16.0,23.65,15.23,Residential,Central AC,73.02701204154121,2487.74
193.72,34.0,25.25,19.68,Office,VRF,23.16,
172.81,28.0,8.37,18.88,Residential,Split AC,18.27,3894.94
24.34,8.0,17.68,4.4,Hospital,Central AC,19.87,963.8
16.94,5.0,22.7,7.65,Residential,Split AC,20.35,312.91
33.98,15.0,35.11,30.0,Residential,Split AC,27.18,-394.4500123377897
13.96,7.0,22.69,9.45,Office,Rooftop Unit,23.95,523.9
175.12,13.0,25.65,14.22,Residential,Central AC,23.86,2648.99
16.23,2.0,26.12,18.9,Office,Rooftop Unit,24.85,183.32
83.33,12.0,29.3,7.59,Residential,Split AC,27.27,1555.22
70.33,18.0,19.49,16.16,Hospital,Heat Pump,21.12,1729.88
133.07,15.0,29.6,26.5,Educational,Split AC,26.69,1839.77
82.12,20.0,13.4,14.24,Residential,Central AC,19.47,1832.28
18.59,3.0,21.42,29.94,Educational,Rooftop Unit,22.29,232.05
17.1,5.0,30.42,0.8644906622680565,Educational,Heat Pump,22.59,13566.872631632672
32.88,12.0,24.97,15.45,,Heat Pump,23.16,427.7
75.94,16.0,40.8,20.69,Commercial,Heat Pump,23.25,2011.55
13.193355552769635,111.0,20.88,30.0,Residential,Heat Pump,20.83,134.49
29.58,5.0,26.75,9.74,Hospital,Rooftop Unit ,23.96,913.35
54.17,12.0,21.48,6.8,Residential,Central AC,22.59,1041.97
15.84,1.0,20.51,11.85,Hospital,Central AC,20.53,12728.976240053411
21.36,1.0,23.56,17.94,Office,Split AC,23.36,11366.08269215942
126.07,28.0,,20.83,Educational,Heat Pump,24.72,1689.97
115.23,28.0,34.15,9.42,Commercial,Central AC,25.83,4147.64
90.21,30.0,28.93,9.83,Commercial,Heat Pump,25.81,2122.01
69.45,15.0,25.11,16.38,Commercial,VRF,25.5,1052.31
161.99,34.0,20.02,11.69,Residential,Split AC,20.58,2255.92
21.32,4.0,28.48,16.85,Residential,SPLIT AC,26.05,397.16
27.51,5.0,14.48,9.52,Commercial,Central AC,19.33,1001.26
37.01,20.0,26.07,12.08,Educational,Central AC,25.33,1017.75
16.827973161593533,109.0,24.53,8.61,Office,Split AC,26.78,1202.93
56.31,18.0,22.46,9.91,Commercial,Split AC,23.52,
69.68,20.0,7.41,13.04,Hospital,VRF,20.0,2942.34
16.82,6.0,32.81,16.17,Residential,VRF,21.49,298.28
28.33,4.0,30.35,13.15,Commercial,Central AC,23.08,953.67
24.427035365113625,107.0,35.12,13.78,Office,Rooftop Unit,25.39,5168.42
66.39,19.0,17.89,22.03,Commercial,Split AC,18.0,1218.4
11.85,3.0,17.95,24.9,commercial,VRF,22.11,229.78
17.31,7.0,23.83,-5.51944597340097,Residential,VRF,23.41,257.28
12.77,2.0,29.06,7.75,Residential,Central AC,27.72,191.24
88.52,27.0,30.7,6.57,Office,Central AC,27.07,2863.46
31.23,16.0,8.63,20.11,Office,Split AC,20.44,950.39
26.65,1.0,35.13,16.22,Residential,Split AC,23.56,604.28
21.73,5.0,23.54,10.99,Residential,VRF,21.47,361.24
26.61,4.0,25.98,13.38,Hospital,Central AC,25.14,657.72
13.02,6.0,30.45,12.19,Residential,Split AC,25.24,413.61
25.04,6.0,28.75,8.18,educational,VRF,25.48,484.44
69.85,16.0,38.03,18.47,,Heat Pump,24.72,1984.89
71.82,12.0,12.15,12.33,Residential,Central AC,20.33,1894.82
14.32,2.0,29.2,19.29,Hospital,Central AC,26.31,438.77
69.18,8.0,29.52,20.9,Office,Rooftop Unit,25.1,1692.41
10.41,6.0,5.12,12.27,Residential,Central AC,18.0,509.86
12.02,6.0,26.56,16.58,Commercial,Heat Pump,24.91,249.78
36.52,10.0,25.29,17.21,Commercial,Central AC,23.94,1056.88
107.22,13.0,20.0,8.17,Office,Split AC,22.52,1651.7
161.1,25.0,26.91,12.84,Office,Central AC,24.69,2791.95
17.42,4.0,22.29,12.85,Residential,VRF,22.92,198.47
17.14,1.0,31.36,0.9377878266424178,Educational,Heat Pump,22.53,12242.655277647547
59.84,14.0,32.87,15.29,Residential,Central AC,27.27,1820.53
25.44,4.0,5.0,25.82,Office,Central AC,18.0,659.23
56.68,16.0,27.35,10.3,Office,Central AC,27.34,1501.43
26.47,2.0,24.93,9.02,Residential,Rooftop Unit,23.23,349.64
53.94,17.0,18.82,6.51,Residential,Central AC,20.86,1299.58
